id,title,abstract,year,update_date,url,version_count
0909.4239,mRNA diffusion explains protein gradients in \textit{Drosophila} early development,"We propose a new model describing the production and the establishment of the stable gradient of the Bicoid protein along the antero-posterior axis of the embryo of \textit{Drosophila}. In this model, we consider that \textit{bicoid} mRNA diffuses along the antero-posterior axis of the embryo and the protein is produced in the ribosomes localized near the syncytial nuclei. Bicoid protein stays localized near the syncytial nuclei as observed in experiments. We calibrate the parameters of the mathematical model with experimental data taken during the cleavage stages 11 to 14 of the developing embryo of \textit{Drosophila}. We obtain good agreement between the experimental and the model gradients, with relative errors in the range 5-8%. The inferred diffusion coefficient of \textit{bicoid} mRNA is in the range 4.6\times 10^{-12}-1.5\times 10^{-11}m^2s^{-1}, in agreement with the theoretical predictions and experimental measurements for the diffusion of macromolecules in the cytoplasm. We show that the model based on the mRNA diffusion hypothesis is consistent with the known observational data, supporting the recent experimental findings of the gradient of \textit{bicoid} mRNA in \textit{Drosophila} [Spirov et al. (2009) Development 136:605-614].",2009,2009-09-24,https://arxiv.org/abs/0909.4239,1
0905.2926,One-Dimensional Pricing of CPPI,Constant Proportion Portfolio Insurance (CPPI) is an investment strategy designed to give participation in the performance of a risky asset while protecting the invested capital. This protection is however not perfect and the gap risk must be quantified. CPPI strategies are path-dependent and may have American exercise which makes their valuation complex. A naive description of the state of the portfolio would involve three or even four variables. In this paper we prove that the system can be described as a discrete-time Markov process in one single variable if the underlying asset follows a homogeneous process. This yields an efficient pricing scheme using transition probabilities. Our framework is flexible enough to handle most features of traded CPPIs including profit lock-in and other kinds of strategies with discrete-time reallocation.,2009,2010-02-10,https://arxiv.org/abs/0905.2926,2
0704.0872,Spectral perturbation bounds for selfadjoint operators,We give general spectral and eigenvalue perturbation bounds for a selfadjoint operator perturbed in the sense of the pseudo-Friedrichs extension. We also give several generalisations of the aforementioned extension. The spectral bounds for finite eigenvalues are obtained by using analyticity and monotonicity properties (rather than variational principles) and they are general enough to include eigenvalues in gaps of the essential spectrum.,2007,2008-01-21,https://arxiv.org/abs/0704.0872,2
0705.0038,Prime Graphs and Exponential Composition of Species,"In this paper, we enumerate prime graphs with respect to the Cartesian multiplication of graphs. We use the unique factorization of a connected graph into the product of prime graphs given by Sabidussi to find explicit formulas for labeled and unlabeled prime graphs. In the case of species, we construct the exponential composition of species based on the arithmetic product of species of Maia and M\'endez and the quotient species, and express the species of connected graphs as the exponential composition of the species of prime graphs.",2007,2009-11-10,https://arxiv.org/abs/0705.0038,4
0905.0727,Statistical Methods for Determining Optimal Rifle Cartridge Dimensions,"We have designed and carried out a statistical study to determine the optimal cartridge dimensions for a Savage 10FLP law enforcement grade rifle. Optimal performance is defined as minimal group diameter. A full factorial block design with two main factors and one blocking factor was used. The two main factors were bullet seating depth and powder charge. The experimental units were individual shots taken from a bench-rest position and fired into separate targets. Additionally, thirteen covariates describing various cartridge dimensions were recorded. The data analysis includes ANOVA and ANCOVA. We will describe the experiment, the analysis, and some results.",2009,2009-05-07,https://arxiv.org/abs/0905.0727,1
0704.2626,Transport measurements across a tunable potential barrier in graphene,"The peculiar nature of electron scattering in graphene is among many exciting theoretical predictions for the physical properties of this material. To investigate electron scattering properties in a graphene plane, we have created a gate-tunable potential barrier within a single-layer graphene sheet. We report measurements of electrical transport across this structure as the tunable barrier potential is swept through a range of heights. When the barrier is sufficiently strong to form a bipolar junctions (npn or pnp) within the graphene sheet, the resistance across the barrier sharply increases. We compare these results to predictions for both diffusive and ballistic transport, as the barrier rises on a length scale comparable to the mean free path. Finally, we show how a magnetic field modifies transport across the barrier.",2007,2007-06-19,https://arxiv.org/abs/0704.2626,2
1209.2298,The Future Has Thicker Tails than the Past: Model Error As Branching Counterfactuals,"Ex ante forecast outcomes should be interpreted as counterfactuals (potential histories), with errors as the spread between outcomes. Reapplying measurements of uncertainty about the estimation errors of the estimation errors of an estimation leads to branching counterfactuals. Such recursions of epistemic uncertainty have markedly different distributial properties from conventional sampling error. Nested counterfactuals of error rates invariably lead to fat tails, regardless of the probability distribution used, and to powerlaws under some conditions. A mere .01% branching error rate about the STD (itself an error rate), and .01% branching error rate about that error rate, etc. (recursing all the way) results in explosive (and infinite) higher moments than 1. Missing any degree of regress leads to the underestimation of small probabilities and concave payoffs (a standard example of which is Fukushima). The paper states the conditions under which higher order rates of uncertainty (expressed in spreads of counterfactuals) alters the shapes the of final distribution and shows which a priori beliefs about conterfactuals are needed to accept the reliability of conventional probabilistic methods (thin tails or mildly fat tails).",2012,2012-09-12,https://arxiv.org/abs/1209.2298,1
0705.0658,Central Limit Theorem for the Excited Random Walk in dimension $d \geq 2$,We prove that a law of large numbers and a central limit theorem hold for the excited random walk model in every dimension $d \geq 2$.,2007,2007-06-06,https://arxiv.org/abs/0705.0658,3
1908.00099,Testing for Externalities in Network Formation Using Simulation,"We discuss a simplified version of the testing problem considered by Pelican and Graham (2019): testing for interdependencies in preferences over links among N (possibly heterogeneous) agents in a network. We describe an exact test which conditions on a sufficient statistic for the nuisance parameter characterizing any agent-level heterogeneity. Employing an algorithm due to Blitzstein and Diaconis (2011), we show how to simulate the null distribution of the test statistic in order to estimate critical values and/or p-values. We illustrate our methods using the Nyakatoke risk-sharing network. We find that the transitivity of the Nyakatoke network far exceeds what can be explained by degree heterogeneity across households alone.",2019,2019-08-02,https://arxiv.org/abs/1908.00099,1
1710.09676,Near-Optimal Sparse Sensing for Gaussian Detection with Correlated Observations,"Detection of a signal under noise is a classical signal processing problem. When monitoring spatial phenomena under a fixed budget, i.e., either physical, economical or computational constraints, the selection of a subset of available sensors, referred to as sparse sensing, that meets both the budget and performance requirements is highly desirable. Unfortunately, the subset selection problem for detection under dependent observations is combinatorial in nature and suboptimal subset selection algorithms must be employed. In this work, different from the widely used convex relaxation of the problem, we leverage submodularity, the diminishing returns property, to provide practical near optimal algorithms suitable for large-scale subset selection. This is achieved by means of low-complexity greedy algorithms, which incur a reduced computational complexity compared to their convex counterparts.",2017,2018-08-01,https://arxiv.org/abs/1710.09676,1
